date,random_agent,equal_weight,momentum,volatility_weighted,sp500,sp500_gold_50_50
2021-04-30,1.6788765173917615,1.5475664093065153,1.8773356593487036,1.6484790877721944,1.6697342783704539,1.5304803488224046
2021-05-31,1.7852225827229247,1.6286550011620862,1.9604487159846726,1.7095565753595736,1.6806978698078259,1.5942630019901054
2021-06-30,1.7281845682362587,1.639117575048258,2.015707343643093,1.728336491049369,1.7127880949696008,1.5525066809448445
2021-07-31,1.7854670282471572,1.7040611621416344,2.106946182476092,1.7888594445965635,1.7546015244013946,1.5910941240442165
2021-08-31,1.8956653486922275,1.8058442762833835,2.2817681608130576,1.8720323406234778,1.8068181852871994,1.6141604502443314
2021-09-30,1.7224373670680164,1.6716303740896792,2.0566860897299835,1.753736713577,1.7171095462250288,1.548072424887043
2021-10-31,1.8142595000440287,1.7461036446517937,2.1526063393415873,1.8409262681756475,1.8375880416322201,1.6138351026551658
2021-11-30,1.649879174682471,1.6685917116023965,1.9984999107282078,1.797902582975188,1.8228233070433866,1.6017833868380926
2021-12-31,1.706917594124319,1.7530525379664958,2.0776538703061598,1.876370041987888,1.9004481231390158,1.6623115088588962
2022-01-31,1.594840836934451,1.6882755802244955,1.942688511184373,1.7919774000912594,1.80021609698465,1.6045221872947835
2022-02-28,1.5474855327956007,1.6902138908165925,1.9027706845162293,1.7925785944874466,1.7470790976384847,1.6299540610607341
2022-03-31,1.6909175128828966,1.7881264428867694,2.0293219621640177,1.8725829163829895,1.8071383561035808,1.668341544632447
2022-04-30,1.4801629085066565,1.640355686729817,1.8492116228960085,1.7303108088342563,1.6485275408872613,1.5778573620363106
2022-05-31,1.412980970974608,1.6169983465050635,1.8329164802693907,1.7013669980369694,1.6522487023893213,1.5539068963980296
2022-06-30,1.1938339619857663,1.4374622716646623,1.4152696849023902,1.5562278900569786,1.5094830456303865,1.4746059524729394
2022-07-31,1.3049662063050318,1.5456362081581034,1.3588265822090313,1.624328550300743,1.6484874890078662,1.523419783012534
2022-08-31,1.3306212334305685,1.5365959425211828,1.336611267557253,1.589470389955506,1.5812259745962414,1.4699209069531307
2022-09-30,1.2504315021757233,1.4257920619972997,1.240228275061327,1.489983438293276,1.429177317912465,1.378021066066431
2022-10-31,1.3080538010340304,1.47893295309898,1.286452992860593,1.520619218435425,1.5453344841736165,1.4217257881938972
2022-11-30,1.4421034197966642,1.6140122596649804,1.365192915731615,1.6557554668246879,1.6312419800843259,1.521609262533429
2022-12-31,1.4595793666391854,1.6051445727171527,1.4765463321361525,1.651137506981501,1.5302096489983954,1.496784703861603
2023-01-31,1.7420708545804358,1.8133182248850064,1.7907999352838742,1.8261980453816122,1.6264405168231026,1.5869509763955123
2023-02-28,1.756490030852747,1.800224556013692,1.8063077795026592,1.7865567602944161,1.5855474258516693,1.5244103058885516
2023-03-31,1.7741109198344307,1.8743557152699557,1.655388230244343,1.8784927346792015,1.6380842575538552,1.6100029753599379
2023-04-30,1.7831881177347224,1.8938424358447206,1.6449213964778095,1.8975083457332542,1.6642525437064613,1.6298047687012898
2023-05-31,1.8025824107939439,1.931096600977525,1.6859826419663608,1.9181443400306228,1.6719350558775616,1.6226306155621655
2023-06-30,1.8916145137831366,2.0780338836270023,1.8522523778942472,2.0162396006990124,1.7736875881362675,1.6539842489650476
2023-07-31,1.9276600559083588,2.147085212245557,1.9091708308291433,2.0784016891139103,1.8317462063818402,1.6999814894198548
2023-08-31,1.893858074517234,2.1279269584941707,1.8984154454675046,2.0561223383864555,1.8019766701465814,1.675306569740671
2023-09-30,1.7552443723495381,1.9648294710790335,1.7122104712972168,1.9173096544849744,1.7104674060430844,1.5928910574117352
2023-10-31,1.755948183713157,1.952084198267133,1.6688469913680812,1.9279327543892262,1.6733355284531062,1.6343185706363603
2023-11-30,1.9659573979492708,2.2333306914112896,1.923193729801632,2.1395989852641075,1.826184367959059,1.7296463575948098
2023-12-31,2.0096147839321814,2.3231989860998223,2.0105672468548414,2.2098490573627885,1.9018485957145597,1.7765665992865385
2024-01-31,2.0552418694306587,2.393558843619995,2.115701226957807,2.2600014552123784,1.9321383179443965,1.7780751557980237
2024-02-29,2.1583694770723048,2.461542736097288,2.2143273813788036,2.3412252220517713,2.0329705117427417,1.8285283835570767
2024-03-31,2.28177880369242,2.6124693726865984,2.317916536426379,2.473166368042496,2.0929497885584363,1.9347535473219364
2024-04-30,2.26667643346862,2.6491822317351827,2.346221223644063,2.466345238329854,2.008562798752067,1.9246689630585818
2024-05-31,2.4281385048354367,2.803283195988698,2.505551136531219,2.5967883832403706,2.110155245602582,1.9889229605770784
2024-06-30,2.402452604213064,2.7670494828762537,2.4034957803371233,2.615301509421969,2.1775767233130088,2.019357418690136
2024-07-31,2.4729143639224427,2.753277507360353,2.3570244286061706,2.640908236113778,2.2039452688625882,2.085775181594895
2024-08-31,2.59848592696746,2.9082972644640517,2.4758029522707004,2.745219065487055,2.255441728575618,2.131962660602242
